订单ID,订单号,用户ID,note_id,笔记链接,类型,下单量,完成量,缺口量,原状态,现状态,清理批次,清理时间
5446,ORDER-1779781696361-040,3,6a150dd100000000080256d2,https://www.xiaohongshu.com/explore/6a150dd100000000080256d2,阅读,40000,7260,32740,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5300,ORDER-1779778223430-492,3,6a1450000000000035033f30,https://www.xiaohongshu.com/explore/6a1450000000000035033f30,阅读,40000,8518,31482,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6334,ORDER-1779807321323-561,3,6a1576bf000000000702eb8b,https://www.xiaohongshu.com/explore/6a1576bf000000000702eb8b,阅读,30000,4296,25704,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5393,ORDER-1779779396770-017,3,6a13add80000000008001092,https://www.xiaohongshu.com/explore/6a13add80000000008001092,阅读,30000,7832,22168,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6262,ORDER-1779807321317-489,3,6a1572ce000000000702d670,https://www.xiaohongshu.com/explore/6a1572ce000000000702d670,阅读,21000,4428,16572,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6261,ORDER-1779807321317-488,3,6a1568500000000006033f9a,https://www.xiaohongshu.com/explore/6a1568500000000006033f9a,阅读,20000,4280,15720,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
4119,ORDER-1779721472890-359,3,6a0c12f0000000003601a5b5,https://www.xiaohongshu.com/explore/6a0c12f0000000003601a5b5,阅读,80000,66455,13545,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
3798,ORDER-1779721472842-038,3,6a13e42200000000360318a2,https://www.xiaohongshu.com/explore/6a13e42200000000360318a2,阅读,80000,66910,13090,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5316,ORDER-1779778223432-508,3,6a0bd5610000000008030310,https://www.xiaohongshu.com/explore/6a0bd5610000000008030310,阅读,20000,8258,11742,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5315,ORDER-1779778223432-507,3,6a0c2068000000003701eabe,https://www.xiaohongshu.com/explore/6a0c2068000000003701eabe,阅读,20000,8409,11591,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
