URL,期望下单量,实际下单量,完成量,缺少量,订单数,类型,note_id,状态
http://xhslink.com/o/2wV8mky2UL0,20000,20000,6458,13542,1,view,69f98845000000002202b7f1,"running"
http://xhslink.com/o/tbAIqy9vBQ,20000,71000,58331,12669,3,view,6a0a917f0000000007010c2f,"completed,running"
http://xhslink.com/o/A9uO4MBs75t,20000,40000,30844,9156,2,view,6a0d8a0200000000060304c8,"completed,running"
http://xhslink.com/o/106nvK0mqA8,15000,15000,6297,8703,1,view,6a154537000000003701f823,"running"
http://xhslink.com/o/Ba9BynyghK,10000,10000,4320,5680,1,view,6a154cbc000000003700c20a,"running"
http://xhslink.com/o/41hnBCQLJQn,10000,10000,4364,5636,1,view,6a0eee9e0000000008031917,"running"
http://xhslink.com/o/UkrIXanpfm,10000,10000,4425,5575,1,view,6a156b18000000000702378e,"running"
http://xhslink.com/o/9hhhpG7FUB7,10000,10000,4607,5393,1,view,6a151832000000000803fa10,"running"
http://xhslink.com/o/AkDaT3WnGOl,9000,9000,4362,4638,1,view,6a1573940000000035021fa6,"running"
http://xhslink.com/o/8zTYHLbJOEF,20000,20000,16088,3912,1,view,6a133df60000000008032f47,"running"
http://xhslink.com/o/wBRPydIxz5,8000,8000,4280,3720,1,view,6a1418cb0000000036030a1b,"running"
http://xhslink.com/o/7HJUyBefOjM,20000,20000,16695,3305,1,view,6a13b2bd00000000070133d3,"running"
http://xhslink.com/o/8lBIBqV601L,20000,20000,16697,3303,1,view,6a13da2c00000000080303bc,"running"
http://xhslink.com/o/9VIljho7htJ,20000,20000,16702,3298,1,view,6a144dbe0000000007020bcc,"running"
http://xhslink.com/o/67ofzBWytdp,20000,20000,16852,3148,1,view,6a13b30d00000000070252ad,"running"
http://xhslink.com/o/6NrFlOPHM4r,10000,10000,6995,3005,1,view,6a15425f0000000007010f21,"running"
http://xhslink.com/o/AxNsLGsj84A,20000,20000,17015,2985,1,view,6a144ef60000000006032a09,"running"
http://xhslink.com/o/6AN8w8lBpQb,7000,7000,4320,2680,1,view,6a0c119e0000000035027fdc,"running"
http://xhslink.com/o/6cO7NYEMfvR,7000,7000,4411,2589,1,view,6a1568af0000000036019881,"running"
http://xhslink.com/o/23RRtgyjAQl,10000,10000,8147,1853,1,view,6a1416d20000000008000b9b,"running"
http://xhslink.com/o/4cW7oXFkOmc,10000,10000,8255,1745,1,view,6a13f94f000000000701395a,"running"
http://xhslink.com/o/1ASa7NEbP8o,10000,10000,8255,1745,1,view,6a0ab6930000000006031d6c,"running"
http://xhslink.com/o/13NqWUfO818,6000,6000,4401,1599,1,view,6a156aac0000000008001d5e,"running"
http://xhslink.com/o/4ydIURYZzlM,6000,6000,4410,1590,1,view,6a1186530000000007028d2e,"running"
http://xhslink.com/o/8uPzR4ktKgf,10000,10000,8461,1539,1,view,6a129cb10000000007024f9f,"running"
http://xhslink.com/o/6fb6nE6J3h6,10000,10000,8469,1531,1,view,6a12c0a2000000003601b7c9,"running"
http://xhslink.com/o/1hWA1wHAZQS,10000,10000,8521,1479,1,view,6a140df50000000008001966,"running"
http://xhslink.com/o/3ONaKON0dC6,10000,10000,8638,1362,1,view,6a0a834b000000000702ba2f,"running"
http://xhslink.com/o/5ADRdd98hi9,6000,8000,6971,1029,2,view,6a14105000000000370365da,"completed,running"
http://xhslink.com/o/AyQMoVISlf7,5000,5000,4102,898,1,view,6a156d60000000000702f744,"running"
http://xhslink.com/o/94OjkCcIWPt,5000,5000,4200,800,1,view,6a1551fc000000000803c3d3,"running"
http://xhslink.com/o/3N3v8D8k9S0,5000,5000,4224,776,1,view,6a12c847000000000803f85d,"running"
http://xhslink.com/o/1OaqgqAB9DC,5000,5000,4244,756,1,view,6a12d3120000000006020b0d,"running"
http://xhslink.com/o/4nHYkGSIMgl,5000,5000,4325,675,1,view,6a13c6700000000038037e83,"running"
http://xhslink.com/o/3PSKlBtd0zv,5000,5000,4351,649,1,view,6a15127300000000070258f5,"running"
http://xhslink.com/o/9dxz7Nxsfsl,5000,5000,4360,640,1,view,6a14f6e4000000003700cd3f,"running"
http://xhslink.com/o/3gpv31SvDg8,5000,5000,4366,634,1,view,6a0ef1ad00000000080008d4,"running"
http://xhslink.com/o/5jtwZAEf7ky,5000,5000,4454,546,1,view,6a0af36c0000000008003848,"running"
http://xhslink.com/m/8s6Obbgfm1R,500,500,0,500,1,view,6a13f13f0000000008024559,"running"
http://xhslink.com/o/8lK2I7YEmdH,6000,6000,5782,218,1,view,6a0e6b16000000003802272f,"running"
http://xhslink.com/o/7vMt3LES6M2,300,700,545,155,2,view,6a117871000000003701ff05,"completed,running"
http://xhslink.com/o/KSMedJDsGA,5000,5000,4888,112,2,view,6a1436a000000000350208d5,"completed,running"
http://xhslink.com/m/7Ls5ItqffZZ,1000,1000,899,101,1,view,6a13c2560000000035031e6d,"running"
