URL,期望下单量,实际下单量,完成量,缺少量,订单数,类型,note_id,状态
http://xhslink.com/o/2rm1fiTjpFs,3000,3000,3188,-188,1,view,6a1459f600000000350338c7,"completed"
http://xhslink.com/o/14pD8xmGNT6,2000,2000,2031,-31,1,view,6a0eb5470000000035024d69,"completed"
http://xhslink.com/o/6fPyLG4mCmA,2000,2000,2051,-51,1,view,6a143a54000000003700e2dc,"completed"
http://xhslink.com/o/ARcKbrHL2pD,2000,3000,3240,-240,2,view,6a10549c0000000035025607,"completed"
http://xhslink.com/o/4QPnDH9YFCU,1000,1000,1222,-222,1,view,6a141ae3000000003502a372,"completed"
http://xhslink.com/o/A7zlRcp5h2a,1000,1000,1063,-63,1,view,6a100631000000003502d57a,"completed"
http://xhslink.com/o/1Dd7VV4tfKD,1000,1000,1188,-188,1,view,6a14eaf4000000000800108d,"completed"
http://xhslink.com/o/3Ak6dkImDyr,2000,2000,2164,-164,1,view,6a13f728000000000702edda,"completed"
http://xhslink.com/o/6sjTHlH5exx,2000,2000,2112,-112,1,view,6a13f9bd000000003501d516,"completed"
http://xhslink.com/o/5ODB6vZe3uI,2000,2000,2052,-52,1,view,6a13f81f0000000006023208,"completed"
http://xhslink.com/o/8fFpvGGkAJM,3000,3000,3202,-202,1,view,6a140cee0000000035027d50,"completed"
http://xhslink.com/o/8su5dozo5xs,3000,3000,3075,-75,1,view,6a14c7a400000000060231d2,"completed"
http://xhslink.com/o/9tWHBw9IzVV,2000,2000,2263,-263,1,view,6a115cc20000000008001e8e,"completed"
http://xhslink.com/o/AINZy43ysEn,2000,2000,2284,-284,1,view,6a13fc050000000008003b2d,"completed"
http://xhslink.com/o/2nsXa2ryzri,3000,3000,3025,-25,1,view,6a0c18fe0000000008002083,"completed"
http://xhslink.com/o/1bDerV32E0k,1000,1000,1194,-194,1,view,6a1410680000000036001d55,"completed"
http://xhslink.com/o/98X6MMvJbAT,1000,1000,1268,-268,1,view,6a14db850000000007025f34,"completed"
http://xhslink.com/o/4EagpdrDn6H,1000,1000,1033,-33,1,view,6a13bbf80000000007027ca9,"completed"
http://xhslink.com/o/9nkwDOhocEd,1000,5000,5951,-951,3,view,6a1168560000000007012857,"completed"
http://xhslink.com/o/9Oa69ATUGQr,1000,1000,1008,-8,1,view,6a059af4000000003601a6a2,"completed"
http://xhslink.com/o/328808FBgWy,1000,1000,1027,-27,1,view,6a068c71000000003700fe4e,"completed"
http://xhslink.com/o/AwmuwWoFk2W,1000,1000,1006,-6,1,view,6a04425d0000000038021274,"completed"
http://xhslink.com/o/4n5tYdUqknY,500,500,573,-73,1,view,6a115b630000000037036941,"completed"
http://xhslink.com/o/9fP26MpoxW7,500,1000,1831,-831,2,view,6a110a5b00000000380343b1,"completed"
http://xhslink.com/o/5cJvDIt6Ljv,500,1500,2464,-964,2,view,6a13bad1000000000602164f,"completed"
http://xhslink.com/o/JmmXu8b0eo,1000,1000,1024,-24,1,view,6a0d6ffb000000003502903b,"completed"
http://xhslink.com/o/3hHgYkcY2Fa,1000,2000,2047,-47,2,view,6a0ee4f4000000003502d0a1,"completed"
http://xhslink.com/o/8zTWBmeYuBN,1000,1000,1009,-9,1,view,6a09962600000000350235ca,"completed"
http://xhslink.com/o/31DgkEnjlpM,5000,5000,5092,-92,1,view,6a0eeba7000000000702a80c,"completed"
http://xhslink.com/o/4MR6eyz6k0y,5000,5000,5052,-52,1,view,6a06b137000000000702ed8e,"completed"
http://xhslink.com/o/4eXqim3228f,4000,4000,4128,-128,1,view,6a0c0fa40000000006037d68,"completed"
http://xhslink.com/o/oXrrK7FW0E,5000,5000,5062,-62,1,view,6a06952600000000350328d5,"completed"
http://xhslink.com/o/9P2UFlbgzMP,3000,3000,3021,-21,1,view,69fd58e5000000002301ecca,"completed"
http://xhslink.com/o/AzKPeB2DQn4,5000,5000,5021,-21,1,view,69f087ff0000000035024a04,"completed"
http://xhslink.com/o/1ba1juppI6v,2000,2000,2020,-20,1,view,69e818d20000000023022ba2,"completed"
http://xhslink.com/o/5wWh0tjfVxK,5000,5000,5024,-24,1,view,6a11a03c000000000702eca4,"completed"
http://xhslink.com/o/4eANamEAa5r,5000,5000,5005,-5,1,view,69f730e8000000001a035871,"completed"
http://xhslink.com/o/3siX7owVeaM,5000,5000,5028,-28,1,view,6a102523000000000702e82f,"completed"
http://xhslink.com/o/7uUDXjCXCcU,3000,3000,3039,-39,1,view,69f0c5070000000020038c50,"completed"
http://xhslink.com/o/3orS5wrbi6W,5000,5000,5112,-112,1,view,6a0c787b0000000007029fd7,"completed"
http://xhslink.com/o/79miK8rIHue,4000,4000,4020,-20,1,view,69e9753f0000000023026906,"completed"
http://xhslink.com/o/7oDskjWlXPD,1000,1000,1110,-110,1,view,6a1449b00000000006030d86,"completed"
http://xhslink.com/o/53bxp1B5iXH,5000,8000,8124,-124,2,view,6a0953bd0000000006037738,"completed"
http://xhslink.com/o/1YcPhUL36Xf,500,500,759,-259,1,view,6a13bd2a000000003700e701,"completed"
http://xhslink.com/o/wHiuWkHOyi,3000,5000,5264,-264,2,view,6a11b8a40000000035023d3a,"completed"
http://xhslink.com/o/1UDzyPs9haO,1000,1000,1116,-116,1,view,6a13c9e000000000360319c1,"completed"
http://xhslink.com/o/A1GlKPnv5hQ,1000,1000,1035,-35,1,view,6a0d22b2000000003502fbfd,"completed"
http://xhslink.com/o/6r52fa4bfvz,1000,1000,1010,-10,1,view,6a1032ed000000003501d533,"completed"
http://xhslink.com/o/19Ejvb7L1jK,1000,1000,1023,-23,1,view,6a06f8e20000000007023ed2,"completed"
http://xhslink.com/o/42Jt2jcPh0D,1000,1000,1037,-37,1,view,6a0c570e000000003503a2f5,"completed"
http://xhslink.com/o/8s7zglDZWTE,3000,3000,3118,-118,1,view,6a11061f0000000035024b3c,"completed"
http://xhslink.com/o/8YdNfAnUvm9,3000,3000,3067,-67,1,view,6a0f7693000000003502a0ac,"completed"
http://xhslink.com/o/5Ytfk4OJkqL,6000,6000,6165,-165,2,view,6a0de272000000003501e470,"completed"
http://xhslink.com/o/4BsPLbfQpdH,3000,3000,3056,-56,1,view,6a0c6afe00000000350225b4,"completed"
http://xhslink.com/o/An9bymDgia0,3000,3000,3042,-42,1,view,6a0c6cab000000003502a51f,"completed"
http://xhslink.com/o/9QlmPEoYGRL,2000,2000,2058,-58,1,view,6a0b75d700000000350305e9,"completed"
http://xhslink.com/o/82UdSBXDtyf,1000,1000,1239,-239,1,view,6a14023600000000380376ac,"completed"
http://xhslink.com/o/5WUen2bn7NX,1000,1000,1236,-236,1,view,6a0ea247000000003701d4ec,"completed"
http://xhslink.com/o/2x36yoIUQzn,1000,1000,1002,-2,1,view,69e5dbaf000000001d018e1a,"completed"
http://xhslink.com/o/AmH76yXQyLO,3000,3000,3012,-12,1,view,6a1052c4000000000803c177,"completed"
http://xhslink.com/o/88BIk5H9TCx,1000,2000,2246,-246,2,view,6a10aceb0000000035025372,"completed"
http://xhslink.com/o/9YvFZVL1PIa,1000,3000,3199,-199,2,view,6a1027f00000000006031ecf,"completed"
http://xhslink.com/o/7C0O9bJh988,1000,1000,1011,-11,1,view,6a146fe10000000007022bd3,"completed"
http://xhslink.com/o/6e1CJRIH3xU,1000,1000,1070,-70,1,view,6a144be4000000003701ec5f,"completed"
http://xhslink.com/o/3zLnhiVqflh,6000,7000,7544,-544,3,view,6a0c23dc000000003503ad49,"completed"
http://xhslink.com/o/AHTXRGZAaW3,6000,5000,5182,-182,2,view,6a0d65060000000038037ced,"completed"
http://xhslink.com/m/tDdZNrHFwq,300,300,708,-408,1,view,6a14be7700000000080022f5,"completed"
http://xhslink.com/o/8K7rO44ccPe,1000,1000,1029,-29,1,view,6a13921c000000003502b71d,"completed"
http://xhslink.com/o/aEK6Rw64g1,6000,12000,12056,-56,2,view,6a0bf7a90000000008027153,"completed"
http://xhslink.com/o/8QQLR9eTt2E,12000,12000,12520,-520,1,view,6a103ae1000000003601fc21,"completed"
http://xhslink.com/o/3CuJtYgZIU7,15000,15000,16617,-1617,1,view,6a13bbdc000000003601e5a1,"completed"
http://xhslink.com/o/c7KA1t3Vz7,1000,1000,1036,-36,1,view,6a073dcd00000000070120ac,"completed"
http://xhslink.com/o/3C7b8EW03y1,1000,1000,1065,-65,1,view,6a142b4f00000000360002b2,"completed"
http://xhslink.com/o/60p0BPWKXZ,2000,2000,2021,-21,1,view,6a103d040000000007029d0b,"completed"
http://xhslink.com/o/2KPm5Xw3wt2,2000,2000,2014,-14,1,view,6a10569a000000000803d66e,"completed"
http://xhslink.com/o/9KGy4ZOnUDf,1000,1000,1012,-12,1,view,6a103cbc000000000803ca7a,"completed"
http://xhslink.com/m/7I7Rsw9fZ2c,1000,1000,1017,-17,1,view,6a10fcb5000000000702d82f,"completed"
http://xhslink.com/m/8jV5yZMm5Wl,1000,1000,1048,-48,1,view,6a0d1da3000000000701253a,"completed"
http://xhslink.com/m/2Sac5r1UxgA,1000,1000,1026,-26,1,view,6a0ab43b000000000800208d,"completed"
http://xhslink.com/o/8ySICFbnQPj,1000,1000,1163,-163,1,view,6a1410b7000000000702a943,"completed"
http://xhslink.com/o/1wNAhgK2fob,1000,1000,1212,-212,1,view,6a145079000000000702cda4,"completed"
http://xhslink.com/o/9BizA26aWTV,500,1500,2183,-683,2,view,6a12ce34000000000702aab8,"completed"
http://xhslink.com/o/9f81p52pvcd,500,1500,2250,-750,2,view,6a11cd59000000000603605c,"completed"
http://xhslink.com/o/7l7OLCQp9tv,1000,1000,1331,-331,1,view,6a14f429000000003701e188,"completed"
http://xhslink.com/o/1cCLO4xhYpI,1000,2000,2185,-185,2,view,6a139254000000003601ffef,"completed"
http://xhslink.com/o/7nbWkV8JocI,2000,2000,2069,-69,1,view,6a0ed171000000000802516d,"completed"
http://xhslink.com/o/A4BBsLaVFiw,10000,10000,10389,-389,1,view,6a14f763000000000702c135,"completed"
http://xhslink.com/o/4DeLGCCaSBQ,2000,2000,2082,-82,1,view,6a11cb1b0000000006033965,"completed"
http://xhslink.com/o/5cMGYQkMz9v,2000,2000,2022,-22,1,view,6a1123760000000008026ff3,"completed"
http://xhslink.com/o/6Agg1hUpYS4,1000,1000,1005,-5,1,view,6a13b09d0000000006022730,"completed"
http://xhslink.com/o/AP0nOX0FV6q,1000,1000,1066,-66,1,view,6a1393e7000000003701dd45,"completed"
http://xhslink.com/o/3nR825HLrRZ,2000,2000,2195,-195,1,view,6a14e0980000000006035457,"completed"
http://xhslink.com/o/1eQguBPKA6x,5000,5000,5132,-132,1,view,6a141f580000000008027d15,"completed"
http://xhslink.com/o/1lEAh1vmMvV,1000,1000,1052,-52,1,view,6a1400d30000000006021ed2,"completed"
http://xhslink.com/o/6e2eRYNIgMv,1000,1000,1226,-226,1,view,6a144343000000003501cd5c,"completed"
http://xhslink.com/o/8P8cUHcUOuP,1000,1000,1168,-168,1,view,6a14429a0000000035032de0,"completed"
http://xhslink.com/o/KSMedJDsGA,5000,5000,4888,112,2,view,6a1436a000000000350208d5,"completed,running"
http://xhslink.com/o/AQSWoQ2HWu6,1000,1000,1008,-8,1,view,6a1272b40000000007027f6d,"completed"
http://xhslink.com/o/AUG1v0RSSQl,2000,2000,2009,-9,1,view,6a0e8bab0000000008026ff8,"completed"
http://xhslink.com/o/AvEi0sE2QW,2000,2000,2030,-30,1,view,6a0d732a0000000007027242,"completed"
http://xhslink.com/o/4nrcbdsDoch,2000,2000,2021,-21,1,view,6a128a0800000000070272d5,"completed"
http://xhslink.com/o/7bcEOY94VsV,1000,1000,1051,-51,1,view,6a13a51e0000000037036dca,"completed"
http://xhslink.com/o/6WiaJxDFs4j,1500,1500,1524,-24,1,view,6a13bc1e000000003600176b,"completed"
http://xhslink.com/o/NVSZ7Qb0cS,1000,1000,1137,-137,1,view,6a144fbc000000003700e3f4,"completed"
http://xhslink.com/o/2Ej8OSV7JQl,1000,3000,3113,-113,2,view,6a10234f0000000007028b4c,"completed"
http://xhslink.com/o/4moq2QACBxt,1000,2000,3449,-1449,1,view,6a101a97000000003502b9b0,"completed"
http://xhslink.com/o/7O2pxxw3qtU,2000,2000,2048,-48,1,view,6a14e5b1000000000602113e,"completed"
http://xhslink.com/o/1PDTMnA1lnU,1000,1000,1015,-15,1,view,6a12e1520000000008024c66,"completed"
http://xhslink.com/o/8JFYkDTzOV4,3000,3000,3102,-102,1,view,6a1403eb0000000035021544,"completed"
http://xhslink.com/o/7tToLtNGiVc,1000,1000,1194,-194,1,view,6a14204a000000000803f1b6,"completed"
http://xhslink.com/o/4RznqOuiHHx,2000,2000,2091,-91,1,view,6a0ed8fa000000003503ae55,"completed"
http://xhslink.com/o/7IliJSd98E5,2000,4000,6320,-2320,2,view,6a13b3a5000000003703724f,"completed"
http://xhslink.com/o/84oy5GbPH05,2000,4000,6328,-2328,2,view,6a14186200000000350213ab,"completed"
http://xhslink.com/o/9JBFdBi3fOp,2000,2000,2032,-32,1,view,6a0b0fb600000000350281c4,"completed"
http://xhslink.com/o/6SNjFqRJMxD,2000,2000,2115,-115,1,view,6a067a870000000008001c7f,"completed"
http://xhslink.com/o/27v3c4tKouZ,1000,1000,1041,-41,1,view,6a141a3c0000000006037460,"completed"
http://xhslink.com/o/Alses5jtuX,1000,1000,1166,-166,1,view,6a145640000000003701e9d5,"completed"
http://xhslink.com/o/9n7z79j6xUT,3000,5000,5050,-50,2,view,6a084ea60000000036033c09,"completed"
http://xhslink.com/o/2ybJcvaPPNY,2000,2000,2030,-30,1,view,6a10523a0000000036032cc0,"completed"
http://xhslink.com/o/2QaNOIVoMpO,2000,2000,2164,-164,1,view,6a1479fe000000003700ec80,"completed"
http://xhslink.com/o/1Xazs5kmI1B,2000,2000,2065,-65,1,view,6a11fda40000000038037a1b,"completed"
http://xhslink.com/o/7Z3kfBr2B3K,3000,3000,3173,-173,1,view,6a146557000000003502e85c,"completed"
http://xhslink.com/o/9W5u33YjvXx,4000,4000,4305,-305,1,view,6a1413c7000000003601a4f8,"completed"
http://xhslink.com/o/9udL2clNeTj,3000,3000,3107,-107,1,view,6a1414e0000000003701e334,"completed"
http://xhslink.com/o/1FTjdq4g7v5,2000,2000,2194,-194,1,view,6a14689300000000080037f4,"completed"
http://xhslink.com/o/6CKDDcReY9o,2000,2000,2143,-143,1,view,6a142d070000000007028511,"completed"
http://xhslink.com/o/9E7DpNR0ZdI,2000,2000,2115,-115,1,view,6a1474e2000000003601e805,"completed"
http://xhslink.com/o/AVUladU0kc9,1000,1000,1226,-226,1,view,6a142f960000000038034aa1,"completed"
http://xhslink.com/o/9FHnTD2qVW0,1000,1000,1257,-257,1,view,6a14851a00000000060211b6,"completed"
http://xhslink.com/o/7QVvqPicyme,1000,1000,1211,-211,1,view,6a13d04000000000060324d6,"completed"
http://xhslink.com/o/8iOGXS9H4qB,1000,1000,1124,-124,1,view,6a11beb4000000000803f4e1,"completed"
http://xhslink.com/o/A69KspGzv5R,1000,1000,1274,-274,1,view,6a14f8db000000000702c6b1,"completed"
http://xhslink.com/o/AaYZ2G77Iu6,1000,1000,1930,-930,1,view,6a13ff19000000003503b955,"completed"
http://xhslink.com/o/AYuHXQu6set,2000,2000,2744,-744,1,view,6a13c7bf0000000035033b9f,"completed"
http://xhslink.com/o/6Uj5Mjki1sO,2000,2000,2818,-818,1,view,6a145ec600000000360031cd,"completed"
http://xhslink.com/o/802ncP9Vgnt,500,500,536,-36,1,view,6a139888000000000702d76e,"completed"
